Board;Is_Test_Set;GT_Crowns;Detected_Crowns;Error
board_1;True;9;9;0
board_2;False;12;12;0
board_3;False;10;10;0
board_4;False;8;8;0
board_5;False;9;9;0
board_6;False;12;12;0
board_7;False;9;9;0
board_8;False;8;8;0
board_9;False;11;11;0
board_10;False;11;11;0
board_11;False;7;7;0
board_12;False;6;6;0
board_13;False;11;11;0
board_14;False;11;11;0
board_15;False;7;7;0
board_16;False;6;6;0
board_17;False;10;10;0
board_18;False;6;6;0
board_19;True;11;11;0
board_20;False;11;11;0
board_21;False;10;10;0
board_22;False;6;6;0
board_23;True;11;11;0
board_24;False;11;11;0
board_25;True;11;11;0
board_26;False;6;6;0
board_27;False;9;9;0
board_28;False;13;13;0
board_29;True;10;10;0
board_30;False;6;6;0
board_31;False;9;9;0
board_32;False;13;13;0
board_33;False;8;8;0
board_34;False;10;10;0
board_35;True;11;11;0
board_36;False;9;9;0
board_37;False;8;8;0
board_38;False;10;10;0
board_39;True;11;11;0
board_40;False;9;9;0
board_41;False;11;11;0
board_42;False;8;8;0
board_43;False;11;11;0
board_44;False;11;11;0
board_45;False;9;9;0
board_46;False;8;8;0
board_47;False;11;11;0
board_48;False;10;10;0
board_49;True;10;10;0
board_50;False;7;7;0
board_51;False;12;12;0
board_52;False;10;10;0
board_53;True;7;7;0
board_54;False;7;7;0
board_55;False;12;12;0
board_56;False;11;11;0
board_57;False;10;10;0
board_58;False;9;9;0
board_59;False;9;9;0
board_60;False;11;11;0
board_61;False;10;10;0
board_62;False;9;9;0
board_63;False;9;9;0
board_64;False;5;5;0
board_65;False;8;8;0
board_66;False;18;18;0
board_67;True;8;8;0
board_68;False;5;5;0
board_69;False;18;18;0
board_70;True;8;8;0
board_72;False;8;8;0
