Board;Tile;Is_Test_Set;GT_Crowns;Detected_Crowns;Error
board_1;tile_0_0;True;0;0;0
board_1;tile_0_1;True;0;0;0
board_1;tile_0_2;True;0;0;0
board_1;tile_0_3;True;0;0;0
board_1;tile_0_4;True;0;0;0
board_1;tile_1_0;True;0;0;0
board_1;tile_1_1;True;0;0;0
board_1;tile_1_2;True;0;0;0
board_1;tile_1_3;True;1;1;0
board_1;tile_1_4;True;0;0;0
board_1;tile_2_0;True;0;0;0
board_1;tile_2_1;True;1;1;0
board_1;tile_2_2;True;0;0;0
board_1;tile_2_3;True;0;0;0
board_1;tile_2_4;True;0;0;0
board_1;tile_3_0;True;0;0;0
board_1;tile_3_1;True;2;2;0
board_1;tile_3_2;True;0;0;0
board_1;tile_3_3;True;2;2;0
board_1;tile_3_4;True;1;1;0
board_1;tile_4_0;True;0;0;0
board_1;tile_4_1;True;1;1;0
board_1;tile_4_2;True;0;0;0
board_1;tile_4_3;True;1;1;0
board_1;tile_4_4;True;0;0;0
board_2;tile_0_0;False;0;0;0
board_2;tile_0_1;False;0;0;0
board_2;tile_0_2;False;0;0;0
board_2;tile_0_3;False;2;2;0
board_2;tile_0_4;False;0;0;0
board_2;tile_1_0;False;1;1;0
board_2;tile_1_1;False;1;1;0
board_2;tile_1_2;False;0;0;0
board_2;tile_1_3;False;0;0;0
board_2;tile_1_4;False;0;0;0
board_2;tile_2_0;False;2;2;0
board_2;tile_2_1;False;0;0;0
board_2;tile_2_2;False;0;0;0
board_2;tile_2_3;False;0;0;0
board_2;tile_2_4;False;0;0;0
board_2;tile_3_0;False;2;2;0
board_2;tile_3_1;False;3;3;0
board_2;tile_3_2;False;0;0;0
board_2;tile_3_3;False;0;0;0
board_2;tile_3_4;False;1;1;0
board_2;tile_4_0;False;0;0;0
board_2;tile_4_1;False;0;0;0
board_2;tile_4_2;False;0;0;0
board_2;tile_4_3;False;0;0;0
board_2;tile_4_4;False;0;0;0
board_3;tile_0_0;False;2;2;0
board_3;tile_0_1;False;1;1;0
board_3;tile_0_2;False;0;0;0
board_3;tile_0_3;False;0;0;0
board_3;tile_0_4;False;0;0;0
board_3;tile_1_0;False;0;0;0
board_3;tile_1_1;False;0;0;0
board_3;tile_1_2;False;1;1;0
board_3;tile_1_3;False;0;0;0
board_3;tile_1_4;False;0;0;0
board_3;tile_2_0;False;0;0;0
board_3;tile_2_1;False;1;1;0
board_3;tile_2_2;False;0;0;0
board_3;tile_2_3;False;0;0;0
board_3;tile_2_4;False;1;1;0
board_3;tile_3_0;False;0;0;0
board_3;tile_3_1;False;1;1;0
board_3;tile_3_2;False;0;0;0
board_3;tile_3_3;False;1;1;0
board_3;tile_3_4;False;0;0;0
board_3;tile_4_0;False;0;0;0
board_3;tile_4_1;False;0;0;0
board_3;tile_4_2;False;1;1;0
board_3;tile_4_3;False;0;0;0
board_3;tile_4_4;False;1;1;0
board_4;tile_0_0;False;1;1;0
board_4;tile_0_1;False;0;0;0
